"Transect.x"	"Treatment.x"	"Livestock.density.x"	"Boma.density.x"	"Plot.name"	"Block.x"	"Plot.pair.x"	"Trt.name.x"	"Replicate.x"	"Harvest"	"Harvest.date.x"	"Reharvest.date"	"GrassNetReharvestBiomass1.x"	"DwarfShrubNetReharvestBiomass1.x"	"HerbNetReharvestBiomass1.x"	"ClimberNetReharvestBiomass1.x"	"TotalBiomass1.x"	"GrassNetReharvestBiomass0.x"	"DwarfShrubNetReharvestBiomass0.x"	"HerbNetReharvestBiomass0.x"	"ClimberNetReharvestBiomass0.x"	"TotalBiomass0.x"	"rain.mm"	"min_distExclosures.x"	"boma_density.x"	"Trt.name.y"	"Transect.y"	"Treatment.y"	"Livestock.density.y"	"Boma.density.y"	"Block.y"	"Plot.pair.y"	"Replicate.y"	"Harvest.date.y"	"GrassNetReharvestBiomass1.y"	"DwarfShrubNetReharvestBiomass1.y"	"HerbNetReharvestBiomass1.y"	"ClimberNetReharvestBiomass1.y"	"TotalBiomass1.y"	"GrassNetReharvestBiomass0.y"	"DwarfShrubNetReharvestBiomass0.y"	"HerbNetReharvestBiomass0.y"	"ClimberNetReharvestBiomass0.y"	"TotalBiomass0.y"	"min_distExclosures.y"	"boma_density.y"	"X"	"Y"	"nearest_in_set2"	"fX"
3	"Exclosure"	"High"	"Low"	"B3Ex1P1"	"B3"	"B5"	"B3Ex1"	1	"double"	""	"25.11.2012"	173.5	0	95.6	0	269.1	173.5	0	95.6	0	269.1	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Exclosure"	"High"	"Low"	"B3"	"B5"	1	""	173.5	0	95.6	0	269.1	173.5	0	95.6	0	269.1	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Exclosure"	"High"	"Low"	"B3Ex1P2"	"B3"	"B5"	"B3Ex1"	2	"double"	""	"25.11.2012"	128.4	0	0	0	128.4	128.4	0	0	0	128.4	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Exclosure"	"High"	"Low"	"B3"	"B5"	2	""	128.4	0	0	0	128.4	128.4	0	0	0	128.4	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Exclosure"	"High"	"Low"	"B3Ex1P3"	"B3"	"B5"	"B3Ex1"	3	"double"	""	"25.11.2012"	110.3	0	0	0	110.3	110.3	0	0	0	110.3	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Exclosure"	"High"	"Low"	"B3"	"B5"	3	""	110.3	0	0	0	110.3	110.3	0	0	0	110.3	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Exclosure"	"High"	"Low"	"B3Ex1P4"	"B3"	"B5"	"B3Ex1"	4	"double"	""	"25.11.2012"	106.9	0	0	0	106.9	106.9	0	0	0	106.9	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Exclosure"	"High"	"Low"	"B3"	"B5"	4	""	106.9	0	0	0	106.9	106.9	0	0	0	106.9	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Exclosure"	"High"	"Low"	"B3Ex1P5"	"B3"	"B5"	"B3Ex1"	5	"double"	""	"25.11.2012"	133.1	0	0	0	133.1	133.1	0	0	0	133.1	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Exclosure"	"High"	"Low"	"B3"	"B5"	5	""	133.1	0	0	0	133.1	133.1	0	0	0	133.1	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Control"	"High"	"Low"	"B3Ex1Cp1p1"	"B3"	"B5"	"B3Ex1"	1	"double"	""	"25.11.2012"	116.3	0	43.7	0	160	116.3	0	43.7	0	160	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Control"	"High"	"Low"	"B3"	"B5"	1	""	116.3	0	43.7	0	160	116.3	0	43.7	0	160	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Control"	"High"	"Low"	"B3Ex1Cp1p2"	"B3"	"B5"	"B3Ex1"	2	"double"	""	"25.11.2012"	4.7	29.7	1.3	0	35.7	4.7	29.7	1.3	0	35.7	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Control"	"High"	"Low"	"B3"	"B5"	2	""	4.7	29.7	1.3	0	35.7	4.7	29.7	1.3	0	35.7	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Control"	"High"	"Low"	"B3Ex1Cp1p3"	"B3"	"B5"	"B3Ex1"	3	"double"	""	"25.11.2012"	25.3	16.5	0	0	41.8	25.3	16.5	0	0	41.8	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Control"	"High"	"Low"	"B3"	"B5"	3	""	25.3	16.5	0	0	41.8	25.3	16.5	0	0	41.8	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Control"	"High"	"Low"	"B3Ex1Cp1p4"	"B3"	"B5"	"B3Ex1"	4	"double"	""	"25.11.2012"	23.5	0	14.4	0	37.9	23.5	0	14.4	0	37.9	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Control"	"High"	"Low"	"B3"	"B5"	4	""	23.5	0	14.4	0	37.9	23.5	0	14.4	0	37.9	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
3	"Control"	"High"	"Low"	"B3Ex1Cp1p5"	"B3"	"B5"	"B3Ex1"	5	"double"	""	"25.11.2012"	26.3	20.5	16.8	0	63.6	26.3	20.5	16.8	0	63.6	78.30000034	2342.85544	1.42e-06	"B3Ex1"	3	"Control"	"High"	"Low"	"B3"	"B5"	5	""	26.3	20.5	16.8	0	63.6	26.3	20.5	16.8	0	63.6	2342.85544034428	1.42307284643187e-06	351707	652973	16	"B5"
