"Trt.name"	"Transect"	"Treatment"	"Livestock.density"	"Boma.density"	"Plot.name"	"Block"	"Replicate"	"Harvest"	"Harvest.date"	"Reharvest.date"	"GrassNetReharvestBiomass1"	"DwarfShrubNetReharvestBiomass1"	"HerbNetReharvestBiomass1"	"ClimberNetReharvestBiomass1"	"TotalBiomass1"	"GrassNetReharvestBiomass0"	"DwarfShrubNetReharvestBiomass0"	"HerbNetReharvestBiomass0"	"ClimberNetReharvestBiomass0"	"TotalBiomass0"	"rain.mm"	"X"	"Y"	"nearest_in_set2"	"min_distExclosures"	"boma_density"	"Date"	"Burchells_ZebraMetBio"	"CattleMetBio"	"Grants_GazelleMetBio"	"Greater_KuduMetBio"	"Swaynes_HartebeestMetBio"	"harvest_code"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P3"	"B1"	3	"double"	2012-11-25	2013-06-21	83.4	4.2	0	0	87.6	208.1	0	0	0	208.1	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P5"	"B1"	5	"double"	NA	2012-11-25	215.8	0	0	0	215.8	215.8	0	0	0	215.8	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Exclosure"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P3"	"B1"	3	"double"	NA	2012-11-25	113.7	0	9.4	0	123.1	113.7	0	9.4	0	123.1	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P4"	"B1"	4	"double"	NA	2012-11-25	125.6	0	0	0	125.6	125.6	0	0	0	125.6	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P4"	"B1"	4	"double"	2013-06-21	2013-11-21	47.9	8	0	0	55.9	22.8	14.9	2.6	1.6	41.9	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P4"	"B1"	4	"double"	2012-11-25	2013-06-21	45.9	8.4	0	0	54.3	147.9	0	0	0	147.9	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P5"	"B1"	5	"double"	2012-11-25	2013-06-21	69.8	0	3	0	72.8	63.8	0	1.8	0	65.6	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P1"	"B1"	1	"double"	2012-11-25	2013-06-21	37.9	0	0	0	37.9	110.8	0	0	0	110.8	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P2"	"B1"	2	"double"	2012-11-25	2013-06-21	53.8	0	0	10.8	64.6	66.5	0	0	23.5	90	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P5"	"B1"	5	"double"	2013-06-21	2013-11-21	51.8	0	0	0	51.8	172.9	0	1.9	12.8	187.6	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P1"	"B2"	1	"double"	2012-11-25	2013-06-21	17.3	1.9	0	0	19.2	38.6	21.2	0	0	59.8	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P2"	"B2"	2	"double"	NA	2012-11-25	40	7.4	2.1	0	49.5	40	7.4	2.1	0	49.5	81.00000072	352814	655104	15	2391.46522830699	2.76725400067331e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P4"	"B2"	4	"double"	2012-11-25	2013-06-21	31.4	0	0	0	31.4	16.6	4.9	0	0	21.5	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P2"	"B2"	2	"double"	2012-11-25	2013-06-21	14.2	0	0	0	14.2	136.9	0	0	0	136.9	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P3"	"B2"	3	"double"	2012-11-25	2013-06-21	45.9	16.7	0	0	62.6	14.2	0	0	0	14.2	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P1"	"B2"	1	"double"	NA	2012-11-25	16.9	0	0.7	0	17.6	16.9	0	0.7	0	17.6	81.00000072	352814	655104	15	2391.46522830699	2.76725400067331e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P4"	"B2"	4	"double"	NA	2012-11-25	57	0	0	0	57	57	0	0	0	57	81.00000072	352814	655104	15	2391.46522830699	2.76725400067331e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P5"	"B2"	5	"double"	NA	2012-11-25	24.7	0	0	0	24.7	24.7	0	0	0	24.7	81.00000072	352814	655104	15	2391.46522830699	2.76725400067331e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P3"	"B2"	3	"double"	2012-11-25	2013-06-21	25.2	1.2	4.7	0	31.1	128	0	0	0	128	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P4"	"B2"	4	"double"	2012-11-25	2013-06-21	25.9	0	1.2	0	27.1	70.6	0	0	0	70.6	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P5"	"B2"	5	"double"	2012-11-25	2013-06-21	52.6	0	0.7	0	53.3	90.5	0	0	0	90.5	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P1"	"B2"	1	"double"	2013-06-21	2013-11-21	30.6	7.4	1.8	0	39.8	68.1	0	42.7	0	110.8	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P3"	"B2"	3	"double"	2013-06-21	2013-11-21	54.8	10.7	4.3	0	69.8	19.2	6.4	1.1	0	26.7	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P4"	"B2"	4	"double"	2013-06-21	2013-11-21	64.9	0	0.8	0	65.7	26.8	3.3	0	0	30.1	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Exclosure"
"B2Ex1"	2	"Exclosure"	"High"	"High"	"B2Ex1P5"	"B2"	5	"double"	2013-06-21	2013-11-21	62.5	0	0	0	62.5	86	0	1.6	0	87.6	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Exclosure"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P5"	"B2"	5	"double"	2013-06-21	2013-11-21	5	0	0	0	5	11.7	0	0	0	11.7	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P3"	"B2"	3	"double"	NA	2012-11-25	38.2	0	0	0	38.2	38.2	0	0	0	38.2	81.00000072	352814	655104	15	2391.46522830699	2.76725400067331e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P5"	"B2"	5	"double"	2012-11-25	2013-06-21	12.9	0	0	0	12.9	14.8	103.2	0	0	118	256.2999961	352814	655104	15	2391.46522830699	2.76725400067331e-06	1	233.281113135	87.48339025	12.537806195	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P1"	"B2"	1	"double"	2013-06-21	2013-11-21	3.9	0	0	0	3.9	5.1	0	0	0	5.1	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Control"
"B2Ex1"	2	"Control"	"High"	"High"	"B2Ex1Cp1P2"	"B2"	2	"double"	2013-06-21	2013-11-21	4.1	0	0	0	4.1	1.9	0	0	0	1.9	35.69999981	352814	655104	15	2391.46522830699	2.76725400067331e-06	2	0	0	4.797275685	0	0	"High-Control"
