Counting,Year,Month,Date,TimePeriod,Zone1,Zone,Species,Total,Bio,MetBio,Distancefromroad,Directionfromroad,X_observed,Y_observed,X_estimated,Y_estimated,Notes,date
2,2012,10,26,Morning,C1,C1B,Grants_Gazelle,4,200,150,70,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3A,Grants_Gazelle,1,50,37.5,120,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1B,Grants_Gazelle,1,50,37.5,100,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2C,Grants_Gazelle,11,550,412.5,250,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2D,Grants_Gazelle,3,150,112.5,120,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2E,Grants_Gazelle,1,50,37.5,50,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3C,Grants_Gazelle,4,200,150,200,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3C,Grants_Gazelle,9,450,337.5,500,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3D,Grants_Gazelle,5,250,187.5,100,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4C,Grants_Gazelle,8,400,300,150,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1A,Grants_Gazelle,5,250,187.5,300,,,,,,,26.10.2012
2,2012,10,26,Morning,A1,A1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4A,Greater_Kudu,1,200,150,150,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3A,Greater_Kudu,1,200,150,350,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1B,Greater_Kudu,4,800,600,150,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1B,Greater_Kudu,1,200,150,250,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2B,Greater_Kudu,5,1000,750,130,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1,Greater_Kudu,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A1,A1,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4C,Swaynes_Hartebeest,4,684,513,200,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1,Swaynes_Hartebeest,0,0,0,,,,,,,,26.10.2012
3,2013,2,8,Evening,A1,A1A,Burchells_Zebra,3,645,483.75,200,W,,,,,,8.2.2013
4,2013,2,9,Morning,A1,A1A,Burchells_Zebra,22,4730,3547.5,120,W,349887.9413,657883.3177,349767.9413,657883.3177,,8.2.2013
4,2013,2,9,Morning,A1,A1B,Burchells_Zebra,27,5805,4353.75,90,W,350391.407,658543.1999,350301.407,658543.1999,,8.2.2013
4,2013,2,9,Morning,A2,A2,Burchells_Zebra,0,0,0,,,,,,,,8.2.2013
3,2013,2,8,Evening,A3,A3A,Burchells_Zebra,5,1075,806.25,60,W,350836.5814,656094.8051,350776.5814,656094.8051,,8.2.2013
3,2013,2,8,Evening,A3,A3B,Burchells_Zebra,2,430,322.5,100,W,350521.9446,655372.0932,350421.9446,655372.0932,,8.2.2013
3,2013,2,8,Evening,A3,A3C,Burchells_Zebra,11,2365,1773.75,110,W,350469.8196,655244.6191,350359.8196,655244.6191,,8.2.2013
3,2013,2,8,Evening,A3,A3D,Burchells_Zebra,9,1935,1451.25,85,W,350294.9055,654751.3374,350209.9055,654751.3374,,8.2.2013
4,2013,2,9,Morning,A3,A3A,Burchells_Zebra,14,3010,2257.5,110,W,350205.6367,654283.9421,350095.6367,654283.9421,,8.2.2013
3,2013,2,8,Evening,A4,A4A,Burchells_Zebra,5,1075,806.25,150,W,350120.6794,652083.9699,349970.6794,652083.9699,,8.2.2013
4,2013,2,9,Morning,A4,A4A,Burchells_Zebra,2,430,322.5,110,W,350065.7061,651787.547,349955.7061,651787.547,,8.2.2013
4,2013,2,9,Morning,A4,A4B,Burchells_Zebra,7,1505,1128.75,200,W,350190.6166,652524.101,349990.6166,652524.101,,8.2.2013
