Transect	Treatment	Livestock density	Boma.density	Plot name	Block	Plot.pair	Trt.name	Replicate	Harvest	Harvest.date	Reharvest.date	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	TotalBiomass1	GrassNetReharvestBiomass0	DwarfShrubNetReharvestBiomass0	HerbNetReharvestBiomass0	ClimberNetReharvestBiomass0	TotalBiomass0	rain.mm	min_distExclosures	boma_density	Total.cumulative.biomass
3	Exclosure	Medium	Low	B3Ex2P3	B3	B6	B3Ex2	3	double		25.11.2012	225.3	0	10.7	14.4	250.4	225.3	0	10.7	14.4	250.4	78.30000034	2308.957475	1.24E-06	250.4
3	Exclosure	Medium	Low	B3Ex2P4	B3	B6	B3Ex2	4	double		25.11.2012	152.7	53.6	0	0	206.3	152.7	53.6	0	0	206.3	78.30000034	2308.957475	1.24E-06	206.3
3	Exclosure	Medium	Low	B3Ex2P5	B3	B6	B3Ex2	5	double		25.11.2012	113	0	0	0	113	113	0	0	0	113	78.30000034	2308.957475	1.24E-06	113
3	Control	Medium	Low	B3Ex2Cp1P1	B3	B6	B3Ex2	1	double		25.11.2012	89.1	0	0	0	89.1	89.1	0	0	0	89.1	78.30000034	2308.957475	1.24E-06	89.1
3	Control	Medium	Low	B3Ex2Cp1P2	B3	B6	B3Ex2	2	double		25.11.2012	90.3	0	0	0	90.3	90.3	0	0	0	90.3	78.30000034	2308.957475	1.24E-06	90.3
3	Control	Medium	Low	B3Ex2Cp1P3	B3	B6	B3Ex2	3	double		25.11.2012	99.1	0	0	0	99.1	99.1	0	0	0	99.1	78.30000034	2308.957475	1.24E-06	99.1
3	Control	Medium	Low	B3Ex2Cp1P4	B3	B6	B3Ex2	4	double		25.11.2012	33.6	0	20.6	0	54.2	33.6	0	20.6	0	54.2	78.30000034	2308.957475	1.24E-06	54.2
3	Control	Medium	Low	B3Ex2Cp1P5	B3	B6	B3Ex2	5	double		25.11.2012	69	0	0	0	69	69	0	0	0	69	78.30000034	2308.957475	1.24E-06	69
3	Exclosure	Low	Low	B4Ex1P1	B4	B7	B4Ex1	1	double		25.11.2012	143.2	41.4	19.8	0	204.4	143.2	41.4	19.8	0	204.4	77.90000033	2514.430436	8.36E-07	204.4
3	Exclosure	Low	Low	B4Ex1P2	B4	B7	B4Ex1	2	double		25.11.2012	150.4	39.7	15.1	0	205.2	150.4	39.7	15.1	0	205.2	77.90000033	2514.430436	8.36E-07	205.2
3	Exclosure	Low	Low	B4Ex1P3	B4	B7	B4Ex1	3	double		25.11.2012	158.5	7.5	20.5	0	186.5	158.5	7.5	20.5	0	186.5	77.90000033	2514.430436	8.36E-07	186.5
3	Exclosure	Low	Low	B4Ex1P4	B4	B7	B4Ex1	4	double		25.11.2012	258.1	0	15.2	0	273.3	258.1	0	15.2	0	273.3	77.90000033	2514.430436	8.36E-07	273.3
3	Exclosure	Low	Low	B4Ex1P5	B4	B7	B4Ex1	5	double		25.11.2012	198.8	0	1.5	10.8	211.1	198.8	0	1.5	10.8	211.1	77.90000033	2514.430436	8.36E-07	211.1
3	Control	Low	Low	B4Ex1Cp1P1	B4	B7	B4Ex1	1	double		25.11.2012	69	1.9	26.3	21.4	118.6	69	1.9	26.3	21.4	118.6	77.90000033	2514.430436	8.36E-07	118.6
3	Control	Low	Low	B4Ex1Cp1P2	B4	B7	B4Ex1	2	double		25.11.2012	262.1	0	12	28.9	303	262.1	0	12	28.9	303	77.90000033	2514.430436	8.36E-07	303
3	Control	Low	Low	B4Ex1Cp1P3	B4	B7	B4Ex1	3	double		25.11.2012	60.1	35.3	20.8	68.4	184.6	60.1	35.3	20.8	68.4	184.6	77.90000033	2514.430436	8.36E-07	184.6
3	Control	Low	Low	B4Ex1Cp1P4	B4	B7	B4Ex1	4	double		25.11.2012	109.1	3.2	5.8	35.9	154	109.1	3.2	5.8	35.9	154	77.90000033	2514.430436	8.36E-07	154
3	Control	Low	Low	B4Ex1Cp1P5	B4	B7	B4Ex1	5	double		25.11.2012	129.2	13	2.1	0	144.3	129.2	13	2.1	0	144.3	77.90000033	2514.430436	8.36E-07	144.3
2	Exclosure	Low	Low	B5Ex1P1	B5	B8	B5Ex1	1	double		25.11.2012	289.3	0	0	0	289.3	289.3	0	0	0	289.3	77.90000033	4412.834768	1.47E-06	289.3
2	Exclosure	Low	Low	B5Ex1P2	B5	B8	B5Ex1	2	double		25.11.2012	203.1	0	0	0	203.1	203.1	0	0	0	203.1	77.90000033	4412.834768	1.47E-06	203.1
2	Exclosure	Low	Low	B5Ex1P3	B5	B8	B5Ex1	3	double		25.11.2012	217.8	0	1.3	0.6	219.7	217.8	0	1.3	0.6	219.7	77.90000033	4412.834768	1.47E-06	219.7
2	Exclosure	Low	Low	B5Ex1P4	B5	B8	B5Ex1	4	double		25.11.2012	252.6	0	0	0	252.6	252.6	0	0	0	252.6	77.90000033	4412.834768	1.47E-06	252.6
2	Exclosure	Low	Low	B5Ex1P5	B5	B8	B5Ex1	5	double		25.11.2012	174.9	0	2.7	0	177.6	174.9	0	2.7	0	177.6	77.90000033	4412.834768	1.47E-06	177.6
2	Control	Low	Low	B5Ex1Cp1P1	B5	B8	B5Ex1	1	double		25.11.2012	169.2	3.7	1.8	0.1	174.8	169.2	3.7	1.8	0.1	174.8	77.90000033	4412.834768	1.47E-06	174.8
2	Control	Low	Low	B5Ex1Cp1P2	B5	B8	B5Ex1	2	double		25.11.2012	242.7	0	0	0	242.7	242.7	0	0	0	242.7	77.90000033	4412.834768	1.47E-06	242.7
2	Control	Low	Low	B5Ex1Cp1P3	B5	B8	B5Ex1	3	double		25.11.2012	298.8	0	0	0	298.8	298.8	0	0	0	298.8	77.90000033	4412.834768	1.47E-06	298.8
2	Control	Low	Low	B5Ex1Cp1P4	B5	B8	B5Ex1	4	double		25.11.2012	232.1	0	0	9.7	241.8	232.1	0	0	9.7	241.8	77.90000033	4412.834768	1.47E-06	241.8
2	Control	Low	Low	B5Ex1Cp1P5	B5	B8	B5Ex1	5	double		25.11.2012	392.1	0	5.4	6.2	403.7	392.1	0	5.4	6.2	403.7	77.90000033	4412.834768	1.47E-06	403.7
1	Exclosure	Low	Low	B6Ex1P1	B6	B9	B6Ex1	1	double		25.11.2012	134.3	0	8.7	0	143	134.3	0	8.7	0	143	76.40000105	5663.614548	1.10E-06	143
1	Exclosure	Low	Low	B6Ex1P2	B6	B9	B6Ex1	2	double		25.11.2012	178.2	8.7	57.7	0	244.6	178.2	8.7	57.7	0	244.6	76.40000105	5663.614548	1.10E-06	244.6
1	Exclosure	Low	Low	B6Ex1P3	B6	B9	B6Ex1	3	double		25.11.2012	165.4	0	0.4	0	165.8	165.4	0	0.4	0	165.8	76.40000105	5663.614548	1.10E-06	165.8
1	Exclosure	Low	Low	B6Ex1P4	B6	B9	B6Ex1	4	double		25.11.2012	165.3	0	0	0	165.3	165.3	0	0	0	165.3	76.40000105	5663.614548	1.10E-06	165.3
1	Exclosure	Low	Low	B6Ex1P5	B6	B9	B6Ex1	5	double		25.11.2012	125	0	5.7	0	130.7	125	0	5.7	0	130.7	76.40000105	5663.614548	1.10E-06	130.7
1	Control	Low	Low	B6Ex1Cp1P1	B6	B9	B6Ex1	1	double		25.11.2012	90.2	48.6	0.3	0	139.1	90.2	48.6	0.3	0	139.1	76.40000105	5663.614548	1.10E-06	139.1
1	Control	Low	Low	B6Ex1Cp1P2	B6	B9	B6Ex1	2	double		25.11.2012	114.7	30.8	0.3	0	145.8	114.7	30.8	0.3	0	145.8	76.40000105	5663.614548	1.10E-06	145.8
1	Control	Low	Low	B6Ex1Cp1P3	B6	B9	B6Ex1	3	double		25.11.2012	53.8	5.1	5	0	63.9	53.8	5.1	5	0	63.9	76.40000105	5663.614548	1.10E-06	63.9
1	Control	Low	Low	B6Ex1Cp1P4	B6	B9	B6Ex1	4	double		25.11.2012	292.5	2	0	0	294.5	292.5	2	0	0	294.5	76.40000105	5663.614548	1.10E-06	294.5
1	Control	Low	Low	B6Ex1Cp1P5	B6	B9	B6Ex1	5	double		25.11.2012	45.8	18.2	0	0.3	64.3	45.8	18.2	0	0.3	64.3	76.40000105	5663.614548	1.10E-06	64.3
1	Exclosure	High	High	B1Ex1P1	B1	B1	B1Ex1	1	double	25.11.2012	21.6.2013	31.3	0	2.7	0	34	136.2	1.4	0	0	137.6	256.2999961	3094.192813	2.93E-06	34
1	Exclosure	High	High	B1Ex1P2	B1	B1	B1Ex1	2	double	25.11.2012	21.6.2013	35.1	0	0	0	35.1	81.3	0	0	0	81.3	256.2999961	3094.192813	2.93E-06	69.75
1	Exclosure	High	High	B1Ex1P3	B1	B1	B1Ex1	3	double	25.11.2012	21.6.2013	60.1	14	0	0	74.1	181.7	0	1.5	0	183.2	256.2999961	3094.192813	2.93E-06	155.925
1	Exclosure	High	High	B1Ex1P4	B1	B1	B1Ex1	4	double	25.11.2012	21.6.2013	54.9	0	1.2	0	56.1	64.3	0	0	0	64.3	256.2999961	3094.192813	2.93E-06	62.25
1	Exclosure	High	High	B1Ex1P5	B1	B1	B1Ex1	5	double	25.11.2012	21.6.2013	65.9	0	2.8	0	68.7	64.5	5.5	0	0	70	256.2999961	3094.192813	2.93E-06	69.675
