Counting	Year	Month	Date	TimePeriod	Zone1	Zone	Species	Total	Adult	Juvenile	Male	Female	Distancefromroad	Directionfromroad	X_observed	Y_observed	X_estimated	Y_estimated	Notes
2	2012	10	26	Morning	B2	B2A	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	A1	A1A	Burchells_Zebra	4	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D1	D1A	Burchells_Zebra	10	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA
3	2013	2	8	Evening	A1	A1A	Greater_Kudu	1	NA	NA	1	NA	20	W	NA	NA	NA	NA	NA
3	2013	2	8	Evening	A1	A1A	Burchells_Zebra	3	NA	NA	NA	NA	200	W	NA	NA	NA	NA	NA
3	2013	2	8	Evening	A1	A1B	Grants_Gazelle	1	NA	NA	NA	1	100	W	350434.8267	658597.2743	350334.8267	658597.2743	NA
3	2013	2	8	Evening	B1	B1A	Greater_Kudu	2	NA	1	NA	1	100	E	350362.3237	658511.5366	350462.3237	658511.5366	NA
3	2013	2	8	Evening	B1	B1B	Greater_Kudu	6	NA	1	3	2	100	E	350178.5032	658177.8353	350278.5032	658177.8353	NA
3	2013	2	8	Evening	B1	B1B	Burchells_Zebra	19	NA	NA	NA	NA	150	E	350178.5032	658177.8353	350328.5032	658177.8353	NA
3	2013	2	8	Evening	B1	B1C	Burchells_Zebra	4	NA	NA	2	2	70	E	349678.0855	657588.9342	349748.0855	657588.9342	NA
3	2013	2	8	Evening	B2	B2A	Burchells_Zebra	2	NA	NA	1	1	180	E	349647.1942	657182.1006	349827.1942	657182.1006	NA
3	2013	2	8	Evening	B2	B2B	Burchells_Zebra	8	NA	NA	1	NA	70	E	349997.8723	656570.8772	350067.8723	656570.8772	NA
3	2013	2	8	Evening	A3	A3A	Burchells_Zebra	5	NA	1	3	1	60	W	350836.5814	656094.8051	350776.5814	656094.8051	NA
3	2013	2	8	Evening	A3	A3B	Burchells_Zebra	2	NA	NA	NA	NA	100	W	350521.9446	655372.0932	350421.9446	655372.0932	NA
3	2013	2	8	Evening	A3	A3C	Burchells_Zebra	11	NA	NA	NA	NA	110	W	350469.8196	655244.6191	350359.8196	655244.6191	NA
3	2013	2	8	Evening	A3	A3C	Greater_Kudu	12	NA	NA	2	NA	120	W	350469.8196	655244.6191	350349.8196	655244.6191	NA
3	2013	2	8	Evening	A3	A3C	Grants_Gazelle	2	NA	NA	NA	2	90	W	350469.8196	655244.6191	350379.8196	655244.6191	NA
3	2013	2	8	Evening	B3	B3A	Burchells_Zebra	24	NA	NA	NA	NA	75	E	350294.9055	654751.3374	350369.9055	654751.3374	NA
3	2013	2	8	Evening	B3	B3A	Greater_Kudu	4	NA	NA	NA	4	90	E	350294.9055	654751.3374	350384.9055	654751.3374	NA
3	2013	2	8	Evening	A3	A3D	Burchells_Zebra	9	NA	NA	NA	NA	85	W	350294.9055	654751.3374	350209.9055	654751.3374	NA
3	2013	2	8	Evening	A3	A3E	Greater_Kudu	3	NA	NA	1	2	200	W	350211.6997	653954.7519	350011.6997	653954.7519	NA
3	2013	2	8	Evening	B3	B3B	Burchells_Zebra	9	NA	NA	3	NA	60	E	350211.6997	653954.7519	350271.6997	653954.7519	NA
3	2013	2	8	Evening	B3	B3C	Burchells_Zebra	15	NA	NA	NA	NA	220	E	350246.9166	653184.4157	350466.9166	653184.4157	NA
3	2013	2	8	Evening	A4	A4A	Burchells_Zebra	5	NA	2	NA	NA	150	W	350120.6794	652083.9699	349970.6794	652083.9699	NA
3	2013	2	8	Evening	B4	B4A	Burchells_Zebra	6	NA	NA	NA	NA	130	E	350120.6794	652083.9699	350250.6794	652083.9699	NA
3	2013	2	8	Evening	B4	B4B	Burchells_Zebra	12	NA	NA	NA	NA	10	W	350320.6078	651476.3297	350310.6078	651476.3297	NA
3	2013	2	8	Evening	B4	B4C	Burchells_Zebra	7	NA	NA	NA	NA	50	W	351015.2844	652488.7105	350965.2844	652488.7105	NA
3	2013	2	8	Evening	D4	D4A	Grants_Gazelle	2	NA	NA	NA	NA	50	W	351313.508	653016.5268	351263.508	653016.5268	NA
3	2013	2	8	Evening	D4	D4B	Grants_Gazelle	3	NA	NA	NA	NA	100	W	351932.6066	653966.7306	351832.6066	653966.7306	NA
4	2013	2	9	Morning	C3	C3A	Grants_Gazelle	3	NA	NA	NA	NA	90	W	352570.2867	655423.7538	352480.2867	655423.7538	NA
4	2013	2	9	Morning	D3	D3A	Grants_Gazelle	5	NA	NA	NA	NA	80	E	352570.2867	655423.7538	352650.2867	655423.7538	NA
4	2013	2	9	Morning	C3	C3B	Grants_Gazelle	1	NA	NA	NA	1	200	W	352235.3648	654590.1821	352035.3648	654590.1821	NA
4	2013	2	9	Morning	C3	C3C	Grants_Gazelle	1	NA	NA	NA	1	100	W	352015.5409	654153.9509	351915.5409	654153.9509	NA
4	2013	2	9	Morning	C4	C4A	Grants_Gazelle	1	NA	NA	NA	NA	250	W	351799.2962	653687.8567	351549.2962	653687.8567	NA
4	2013	2	9	Morning	D4	D4A	Grants_Gazelle	7	NA	NA	NA	NA	200	E	351799.2962	653687.8567	351999.2962	653687.8567	NA
4	2013	2	9	Morning	D4	D4B	Grants_Gazelle	6	NA	NA	1	NA	110	E	351508.6363	653309.5152	351618.6363	653309.5152	NA
4	2013	2	9	Morning	D4	D4B	Burchells_Zebra	5	NA	1	NA	NA	110	E	351508.6363	653309.5152	351618.6363	653309.5152	NA
4	2013	2	9	Morning	C4	C4B	Grants_Gazelle	3	NA	NA	NA	NA	100	W	351258.6784	652914.9325	351158.6784	652914.9325	NA
4	2013	2	9	Morning	D4	D4C	Grants_Gazelle	3	NA	NA	NA	NA	110	E	351258.6784	652914.9325	351368.6784	652914.9325	NA
4	2013	2	9	Morning	B4	B4A	Grants_Gazelle	3	NA	NA	NA	NA	100	W	350621.7714	651934.0348	350521.7714	651934.0348	NA
4	2013	2	9	Morning	B4	B4A	Burchells_Zebra	13	NA	NA	NA	NA	80	W	350621.7714	651934.0348	350541.7714	651934.0348	NA
4	2013	2	9	Morning	A4	A4A	Burchells_Zebra	2	NA	NA	NA	NA	110	W	350065.7061	651787.547	349955.7061	651787.547	NA
4	2013	2	9	Morning	A4	A4B	Burchells_Zebra	7	NA	NA	NA	NA	200	W	350190.6166	652524.101	349990.6166	652524.101	NA
4	2013	2	9	Morning	A4	A4C	Grants_Gazelle	6	NA	NA	NA	NA	100	W	350209.3793	652727.3989	350109.3793	652727.3989	NA
4	2013	2	9	Morning	B4	B4B	Burchells_Zebra	5	NA	NA	NA	NA	110	E	350209.3793	652727.3989	350319.3793	652727.3989	NA
4	2013	2	9	Morning	B4	B4C	Burchells_Zebra	81	NA	NA	NA	NA	150	E	350255.3266	653000.2916	350405.3266	653000.2916	NA
4	2013	2	9	Morning	B4	B4C	Grants_Gazelle	2	NA	NA	NA	NA	130	E	350255.3266	653000.2916	350385.3266	653000.2916	NA
4	2013	2	9	Morning	A4	A4D	Burchells_Zebra	22	NA	NA	NA	NA	60	W	350234.8857	653290.9266	350174.8857	653290.9266	NA
4	2013	2	9	Morning	A3	A3A	Burchells_Zebra	14	NA	NA	NA	NA	110	W	350205.6367	654283.9421	350095.6367	654283.9421	NA
4	2013	2	9	Morning	B3	B3A	Burchells_Zebra	39	NA	NA	NA	NA	90	E	350205.6367	654283.9421	350295.6367	654283.9421	NA
4	2013	2	9	Morning	A3	A3B	Grants_Gazelle	3	NA	NA	NA	NA	100	W	350375.936	654973.0597	350275.936	654973.0597	NA
4	2013	2	9	Morning	B3	B3B	Burchells_Zebra	6	NA	NA	NA	NA	100	E	350375.936	654973.0597	350475.936	654973.0597	NA
4	2013	2	9	Morning	B3	B3B	Grants_Gazelle	1	NA	NA	NA	NA	120	E	350375.936	654973.0597	350495.936	654973.0597	NA
4	2013	2	9	Morning	B3	B3C	Burchells_Zebra	5	NA	NA	NA	NA	70	E	350847.6054	656120.8735	350917.6054	656120.8735	NA
4	2013	2	9	Morning	B3	B3C	Grants_Gazelle	1	NA	NA	NA	NA	60	E	350847.6054	656120.8735	350907.6054	656120.8735	NA
4	2013	2	9	Morning	B2	B2A	Burchells_Zebra	13	NA	NA	NA	NA	150	E	350565.6406	656220.9648	350715.6406	656220.9648	NA
4	2013	2	9	Morning	A1	A1A	Burchells_Zebra	22	NA	NA	NA	NA	120	W	349887.9413	657883.3177	349767.9413	657883.3177	NA
4	2013	2	9	Morning	B1	B1A	Burchells_Zebra	4	NA	NA	NA	NA	200	E	350176.6103	658173.417	350376.6103	658173.417	NA
4	2013	2	9	Morning	A1	A1B	Burchells_Zebra	27	NA	NA	NA	NA	90	W	350391.407	658543.1999	350301.407	658543.1999	NA
4	2013	2	9	Morning	A1	A1B	Greater_Kudu	3	NA	NA	NA	NA	90	W	350391.407	658543.1999	350301.407	658543.1999	NA
4	2013	2	9	Morning	A1	A1B	Grants_Gazelle	1	NA	NA	NA	NA	90	W	350391.407	658543.1999	350301.407	658543.1999	NA
4	2013	2	9	Morning	C1	C1A	Burchells_Zebra	11	NA	NA	NA	NA	120	W	351283.9022	659208.2164	351163.9022	659208.2164	NA
4	2013	2	9	Morning	C1	C1A	Grants_Gazelle	1	NA	NA	NA	NA	70	W	351283.9022	659208.2164	351213.9022	659208.2164	NA
4	2013	2	9	Morning	C1	C1A	Anubis_Baboon	5	NA	NA	NA	NA	60	W	351283.9022	659208.2164	351223.9022	659208.2164	NA
4	2013	2	9	Morning	C1	C1B	Burchells_Zebra	11	NA	NA	NA	NA	150	W	351455.3976	658847.9957	351305.3976	658847.9957	NA
4	2013	2	9	Morning	D2	D2A	Burchells_Zebra	25	NA	NA	NA	NA	200	E	352648.3515	656626.8104	352848.3515	656626.8104	NA
4	2013	2	9	Morning	D2	D2A	Grants_Gazelle	3	NA	NA	NA	NA	200	E	352648.3515	656626.8104	352848.3515	656626.8104	NA
4	2013	2	9	Morning	C2	C2A	Grants_Gazelle	1	NA	NA	NA	NA	200	W	352730.1902	656267.5866	352530.1902	656267.5866	NA
4	2013	2	9	Morning	C2	C2A	Burchells_Zebra	5	NA	NA	NA	NA	200	W	352730.1902	656267.5866	352530.1902	656267.5866	NA
